戦闘1回目,攻撃重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,防御ダウン,500,1,1,攻撃アップ,1140,1.3,0.7692308,0回,0回
2ターン目,ファイヤ,461,1,1,通常攻撃,1017,1.3,0.7692308,1回,0回
3ターン目,ファイヤ,461,1,1,攻撃アップ,894,1.69,0.7692308,1回,0回
4ターン目,アイス,410,1,1,通常攻撃,771,1.69,0.7692308,1回,0回
5ターン目,サンダー,410,1,1,攻撃アップ,648,2.197,0.7692308,1回,0回
6ターン目,アイス,344,1,1,通常攻撃,525,2.197,0.7692308,1回,0回
7ターン目,サンダー,344,1,1,防御アップ,402,2.197,1,1回,0回
8ターン目,サンダー,278,1,1,通常攻撃,282,2.197,1,1回,0回
9ターン目,防御ダウン,212,1,1,通常攻撃,222,2.197,0.7692308,0回,0回
10ターン目,ファイヤ,212,1,1,回復,199,2.197,0.7692308,1回,0回
11ターン目,防御アップ,146,1,1.3,通常攻撃,136,2.197,0.7692308,0回,0回
12ターン目,サンダー,146,1,1.3,攻撃アップ,13,2.8561,0.7692308,1回,0回
13ターン目,主人公のアクションで終了,146,1,1.3,死亡,0,2.8561,0.7692308,0回,0回
 
戦闘2回目,攻撃重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,サンダー,470,1,1,通常攻撃,1080,1,1,0回,0回
2ターン目,攻撃アップ,440,1.3,1,通常攻撃,1020,1,1,0回,0回
3ターン目,サンダー,440,1.3,1,攻撃アップ,879,1.3,1,0回,0回
4ターン目,ファイヤ,440,1.3,1,攻撃アップ,738,1.69,1,0回,0回
5ターン目,アイス,389,1.3,1,通常攻撃,597,1.69,1,0回,0回
6ターン目,サンダー,338,1.3,1,通常攻撃,456,1.69,1,0回,0回
7ターン目,サンダー,287,1.3,1,通常攻撃,315,1.69,1,0回,0回
8ターン目,ファイヤ,287,1.3,1,攻撃アップ,174,2.197,1,0回,0回
9ターン目,ファイヤ,221,1.3,1,通常攻撃,33,2.197,1,0回,0回
10ターン目,主人公のアクションで終了,221,1.3,1,死亡,0,2.197,1,0回,0回
 
戦闘3回目,攻撃重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,アイス,500,1,1,攻撃アップ,1080,1.3,1,0回,0回
2ターン目,ファイヤ,500,1,1,攻撃アップ,960,1.69,1,0回,0回
3ターン目,アイス,500,1,1,防御アップ,840,1.69,1.3,0回,0回
4ターン目,アイス,500,1,1,回復,823,1.69,1.3,0回,0回
5ターン目,ファイヤ,449,1,1,通常攻撃,706,1.69,1.3,0回,0回
6ターン目,ファイヤ,449,1,1,回復,689,1.69,1.3,0回,0回
7ターン目,ファイヤ,449,1,1,防御アップ,572,1.69,1.69,0回,0回
8ターン目,防御アップ,449,1,1.3,回復,618,1.69,1.69,0回,0回
9ターン目,サンダー,449,1,1.3,攻撃アップ,504,2.197,1.69,0回,0回
10ターン目,サンダー,449,1,1.3,回復,490,2.197,1.69,0回,0回
11ターン目,ファイヤ,383,1,1.3,通常攻撃,376,2.197,1.69,0回,0回
12ターン目,アイス,317,1,1.3,通常攻撃,262,2.197,1.69,0回,0回
13ターン目,サンダー,251,1,1.3,通常攻撃,148,2.197,1.69,0回,0回
14ターン目,サンダー,185,1,1.3,通常攻撃,34,2.197,1.69,0回,0回
15ターン目,主人公のアクションで終了,185,1,1.3,死亡,0,2.197,1.69,0回,0回
 
