戦闘1回目,サポート重視,,,,,,,,,
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,防御アップ,500,1,1.3,回復,1200,1,1,0回,0回
2ターン目,防御アップ,500,1,1.69,防御アップ,1140,1,1.3,0回,0回
3ターン目,攻撃アップ,500,1.3,1.69,回復,1183,1,1.3,15回,10回
4ターン目,防御アップ,500,1.3,2.197,回復,1200,1,1.3,0回,0回
5ターン目,攻撃ダウン,500,1.3,2.197,回復,1200,0.7692308,1.3,0回,0回
6ターン目,攻撃アップ,500,1.69,2.197,攻撃アップ,1122,1,1.3,14回,6回
7ターン目,防御アップ,470,1.69,2.8561,通常攻撃,1016,1,1.3,0回,0回
8ターン目,攻撃アップ,440,2.197,2.8561,通常攻撃,910,1,1.3,16回,0回
9ターン目,防御アップ,410,2.197,3.712929,通常攻撃,769,1,1.3,0回,0回
10ターン目,防御アップ,410,2.197,4.826808,防御アップ,628,1,1.69,0回,0回
11ターン目,攻撃ダウン,410,2.197,4.826808,防御アップ,491,0.7692308,2.197,0回,0回
12ターン目,防御アップ,386,2.197,6.27485,通常攻撃,359,0.7692308,2.197,0回,0回
13ターン目,防御アップ,386,2.197,8.157305,防御アップ,227,0.7692308,2.8561,0回,0回
14ターン目,サンダー,386,2.197,8.157305,防御アップ,41,0.7692308,3.712929,0回,0回
15ターン目,主人公のアクションで終了,386,2.197,8.157305,死亡,0,0.7692308,3.712929,0回,0回
 ,,,,,,,,,,
戦闘2回目,サポート重視,,,,,,,,,
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,ファイヤ,470,1,1,通常攻撃,1080,1,1,0回,0回
2ターン目,アイス,440,1,1,通常攻撃,960,1,1,0回,0回
3ターン目,アイス,440,1,1,攻撃アップ,840,1.3,1,0回,0回
4ターン目,攻撃アップ,440,1.3,1,防御アップ,780,1.3,1.3,0回,0回
5ターン目,攻撃アップ,401,1.69,1,通常攻撃,702,1.3,1.3,0回,0回
6ターン目,防御アップ,401,1.69,1.3,攻撃アップ,596,1.69,1.3,0回,0回
7ターン目,攻撃アップ,401,2.197,1.3,回復,590,1.69,1.3,0回,0回
8ターン目,攻撃アップ,350,2.8561,1.3,通常攻撃,449,1.69,1.3,0回,0回
9ターン目,攻撃ダウン,350,2.8561,1.3,攻撃アップ,262,1.69,1.3,0回,0回
10ターン目,攻撃アップ,299,3.712929,1.3,通常攻撃,75,1.69,1.3,0回,0回
11ターン目,主人公のアクションで終了,299,3.712929,1.3,死亡,0,1.69,1.3,0回,0回
 ,,,,,,,,,,
戦闘3回目,サポート重視,,,,,,,,,
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,攻撃アップ,500,1.3,1,回復,1200,1,1,0回,0回
2ターン目,防御ダウン,500,1.3,1,防御アップ,1119,1,1,0回,0回
3ターン目,防御アップ,500,1.3,1.3,防御アップ,1038,1,1.3,0回,0回
4ターン目,アイス,470,1.3,1.3,通常攻撃,900,1,1.3,0回,0回
5ターン目,攻撃アップ,470,1.69,1.3,回復,922,1,1.3,0回,0回
6ターン目,攻撃アップ,440,2.197,1.3,通常攻撃,816,1,1.3,0回,0回
7ターン目,攻撃アップ,410,2.8561,1.3,通常攻撃,675,1,1.3,0回,0回
8ターン目,攻撃アップ,410,3.712929,1.3,回復,588,1,1.3,0回,0回
9ターン目,攻撃ダウン,410,3.712929,1.3,回復,441,0.7692308,1.3,0回,0回
10ターン目,攻撃アップ,410,4.826808,1.3,攻撃アップ,194,1,1.3,0回,0回
11ターン目,主人公のアクションで終了,410,4.826808,1.3,死亡,0,1,1.3,0回,0回
 ,,,,,,,,,,
