戦闘1回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,攻撃ダウン,500,1,1,攻撃アップ,1140,1,1,0回,1回
2ターン目,ファイヤ,470,1,1,通常攻撃,1020,1,1,0回,0回
3ターン目,ヒール,500,1,1,防御アップ,960,1,1.3,0回,0回
4ターン目,攻撃ダウン,476,1,1,通常攻撃,903,0.7692308,1.3,1回,0回
5ターン目,ファイヤ,452,1,1,通常攻撃,786,0.7692308,1.3,0回,0回
6ターン目,防御ダウン,428,1,1,通常攻撃,729,0.7692308,1,2回,0回
7ターン目,ファイヤ,404,1,1,通常攻撃,609,0.7692308,1,0回,0回
8ターン目,防御ダウン,380,1,1,通常攻撃,549,0.7692308,0.7692308,1回,0回
9ターン目,アイス,380,1,1,防御アップ,426,0.7692308,1,1回,0回
10ターン目,ヒール,456,1,1,通常攻撃,366,0.7692308,1,0回,0回
11ターン目,防御ダウン,456,1,1,防御アップ,306,0.7692308,1,1回,0回
12ターン目,防御アップ,432,1,1.3,通常攻撃,246,0.7692308,1,0回,0回
13ターン目,防御アップ,432,1,1.69,防御アップ,186,0.7692308,1.3,0回,0回
14ターン目,サンダー,432,1,1.69,防御アップ,69,0.7692308,1.69,1回,0回
15ターン目,ヒール,500,1,1.69,攻撃アップ,15,1,1.69,0回,0回
16ターン目,主人公のアクションで終了,500,1,1.69,死亡,0,1,1.69,0回,0回
 
戦闘2回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,ファイヤ,470,1,1,通常攻撃,1080,1,1,0回,0回
2ターン目,ヒール,500,1,1,回復,1120,1,1,0回,0回
3ターン目,攻撃ダウン,476,1,1,通常攻撃,1060,0.7692308,1,0回,0回
4ターン目,ファイヤ,452,1,1,通常攻撃,940,0.7692308,1,0回,0回
5ターン目,攻撃アップ,452,1.3,1,回復,980,0.7692308,1,0回,0回
6ターン目,防御ダウン,428,1.3,1,通常攻撃,899,0.7692308,0.7692308,0回,0回
7ターン目,アイス,404,1.3,1,通常攻撃,755,0.7692308,0.7692308,0回,0回
8ターン目,サンダー,380,1.3,1,通常攻撃,611,0.7692308,0.7692308,0回,0回
9ターン目,防御ダウン,380,1.3,1,攻撃アップ,527,1,0.591716,0回,0回
10ターン目,防御アップ,350,1.3,1.3,通常攻撃,441,1,0.591716,0回,0回
11ターン目,攻撃ダウン,350,1.3,1.3,防御アップ,355,0.7692308,0.7692308,0回,0回
12ターン目,防御アップ,326,1.3,1.69,通常攻撃,271,0.7692308,0.7692308,0回,0回
13ターン目,防御ダウン,326,1.3,1.69,回復,287,0.7692308,0.591716,0回,0回
14ターン目,防御ダウン,326,1.3,1.69,攻撃アップ,201,1,0.4551662,0回,0回
15ターン目,ヒール,426,1.3,1.69,攻撃アップ,114,1.3,0.4551662,0回,0回
16ターン目,アイス,426,1.3,1.69,死亡,0,1.3,0.4551662,0回,0回
 
戦闘3回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,攻撃ダウン,476,1,1,通常攻撃,1140,0.7692308,1,0回,0回
2ターン目,防御アップ,452,1,1.3,通常攻撃,1080,0.7692308,1,0回,0回
3ターン目,防御ダウン,452,1,1.3,防御アップ,1020,0.7692308,1,0回,0回
4ターン目,サンダー,428,1,1.3,通常攻撃,900,0.7692308,1,0回,0回
5ターン目,防御ダウン,404,1,1.3,通常攻撃,840,0.7692308,0.7692308,0回,0回
6ターン目,サンダー,380,1,1.3,通常攻撃,717,0.7692308,0.7692308,0回,0回
7ターン目,攻撃ダウン,362,1,1.3,通常攻撃,654,0.591716,0.7692308,0回,0回
8ターン目,攻撃ダウン,362,1,1.3,防御アップ,591,0.4551662,1,0回,0回
9ターン目,防御ダウン,362,1,1.3,攻撃アップ,531,0.591716,0.7692308,0回,0回
10ターン目,アイス,362,1,1.3,攻撃アップ,408,0.7692308,0.7692308,0回,0回
11ターン目,攻撃ダウン,362,1,1.3,攻撃アップ,345,0.7692308,0.7692308,0回,0回
12ターン目,防御ダウン,362,1,1.3,攻撃アップ,282,1,0.591716,0回,0回
13ターン目,サンダー,362,1,1.3,防御アップ,157,1,0.7692308,0回,0回
14ターン目,防御ダウン,332,1,1.3,通常攻撃,94,1,0.591716,0回,0回
15ターン目,アイス,332,1,1.3,死亡,0,1,0.591716,0回,0回
 
