戦闘1回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,攻撃アップ,470,1.3,1,通常攻撃,1140,1,1,0回,1回
2ターン目,サンダー,440,1.3,1,通常攻撃,999,1,1,0回,0回
3ターン目,攻撃ダウン,416,1.3,1,通常攻撃,918,0.7692308,1,1回,0回
4ターン目,サンダー,416,1.3,1,回復,877,0.7692308,1,1回,0回
5ターン目,防御ダウン,392,1.3,1,通常攻撃,796,0.7692308,0.7692308,1回,0回
6ターン目,防御ダウン,368,1.3,1,通常攻撃,712,0.7692308,0.591716,0回,0回
7ターン目,防御アップ,344,1.3,1.3,通常攻撃,626,0.7692308,0.591716,1回,1回
8ターン目,攻撃ダウン,326,1.3,1.3,通常攻撃,540,0.591716,0.591716,0回,0回
9ターン目,攻撃アップ,308,1.69,1.3,通常攻撃,454,0.591716,0.591716,0回,0回
10ターン目,ファイヤ,308,1.69,1.3,攻撃アップ,281,0.7692308,0.591716,1回,0回
11ターン目,攻撃アップ,284,2.197,1.3,通常攻撃,168,0.7692308,0.591716,0回,0回
12ターン目,防御ダウン,260,2.197,1.3,通常攻撃,20,0.7692308,0.4551662,0回,0回
13ターン目,主人公のアクションで終了,260,2.197,1.3,死亡,0,0.7692308,0.4551662,0回,0回
 
戦闘2回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,攻撃ダウン,476,1,1,通常攻撃,1140,0.7692308,1,0回,0回
2ターン目,防御ダウン,452,1,1,通常攻撃,1080,0.7692308,0.7692308,0回,0回
3ターン目,防御アップ,452,1,1.3,防御アップ,1017,0.7692308,1,0回,0回
4ターン目,ファイヤ,452,1,1.3,攻撃アップ,897,1,1,0回,0回
5ターン目,攻撃ダウン,452,1,1.3,回復,937,0.7692308,1,0回,0回
6ターン目,ヒール,500,1,1.3,攻撃アップ,877,1,1,0回,0回
7ターン目,サンダー,470,1,1.3,通常攻撃,757,1,1,0回,0回
8ターン目,攻撃アップ,440,1.3,1.3,通常攻撃,697,1,1,0回,0回
9ターン目,ヒール,500,1.3,1.3,回復,716,1,1,0回,0回
10ターン目,攻撃ダウン,476,1.3,1.3,通常攻撃,635,0.7692308,1,0回,0回
11ターン目,攻撃アップ,452,1.69,1.3,通常攻撃,554,0.7692308,1,0回,0回
12ターン目,防御アップ,428,1.69,1.69,通常攻撃,445,0.7692308,1,0回,0回
13ターン目,攻撃アップ,428,2.197,1.69,防御アップ,336,0.7692308,1.3,0回,0回
14ターン目,攻撃ダウン,428,2.197,1.69,攻撃アップ,195,0.7692308,1.3,0回,0回
15ターン目,防御アップ,404,2.197,2.197,通常攻撃,54,0.7692308,1.3,0回,0回
16ターン目,主人公のアクションで終了,404,2.197,2.197,死亡,0,0.7692308,1.3,0回,0回
 
戦闘3回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,防御アップ,500,1,1.3,回復,1200,1,1,0回,0回
2ターン目,防御ダウン,500,1,1.3,攻撃アップ,1140,1.3,0.7692308,0回,0回
3ターン目,攻撃ダウン,470,1,1.3,通常攻撃,1077,1,0.7692308,0回,0回
4ターン目,防御アップ,470,1,1.69,防御アップ,1014,1,1,0回,0回
5ターン目,アイス,470,1,1.69,防御アップ,894,1,1.3,0回,0回
6ターン目,ファイヤ,470,1,1.69,回復,877,1,1.3,0回,0回
7ターン目,防御アップ,440,1,2.197,通常攻撃,820,1,1.3,0回,0回
8ターン目,サンダー,440,1,2.197,回復,803,1,1.3,0回,0回
9ターン目,ヒール,500,1,2.197,防御アップ,746,1,1.3,0回,0回
10ターン目,攻撃アップ,500,1.3,2.197,通常攻撃,689,1,1.69,0回,0回
11ターン目,サンダー,470,1.3,2.197,通常攻撃,554,1,1.69,0回,0回
12ターン目,攻撃アップ,440,1.69,2.197,通常攻撃,479,1,1.69,0回,0回
13ターン目,攻撃ダウン,416,1.69,2.197,防御アップ,377,0.7692308,1.69,0回,0回
14ターン目,攻撃アップ,416,2.197,2.197,通常攻撃,275,0.7692308,2.197,0回,0回
15ターン目,攻撃ダウン,398,2.197,2.197,死亡,143,0.591716,2.197,0回,0回
16ターン目,サンダー,398,2.197,2.197,死亡,0,0.591716,2.197,0回,0回
 
