戦闘1回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,サンダー,470,1,1,通常攻撃,1080,1,1,0回,0回
2ターン目,攻撃アップ,470,1.3,1,攻撃アップ,1020,1.3,1,0回,0回
3ターン目,サンダー,470,1.3,1,防御アップ,879,1.3,1.3,0回,0回
4ターン目,ヒール,500,1.3,1,防御アップ,801,1.3,1.69,27回,4回
5ターン目,防御ダウン,461,1.3,1,通常攻撃,726,1.3,1.3,0回,0回
6ターン目,サンダー,422,1.3,1,通常攻撃,588,1.3,1.3,0回,0回
7ターン目,攻撃アップ,383,1.69,1,通常攻撃,510,1.3,1.3,0回,0回
8ターン目,防御アップ,344,1.69,1.3,通常攻撃,404,1.3,1.3,0回,0回
9ターン目,ヒール,405,1.69,1.3,通常攻撃,298,1.3,1.3,27回,3回
10ターン目,ヒール,500,1.69,1.3,攻撃アップ,192,1.69,1.3,11回,2回
11ターン目,防御アップ,449,1.69,1.69,通常攻撃,86,1.69,1.3,0回,0回
12ターン目,主人公のアクションで終了,449,1.69,1.69,死亡,0,1.69,1.3,0回,0回
 
戦闘2回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,ファイヤ,470,1,1,通常攻撃,1080,1,1,0回,0回
2ターン目,サンダー,470,1,1,攻撃アップ,960,1.3,1,0回,0回
3ターン目,防御ダウン,431,1,1,通常攻撃,900,1.3,0.7692308,0回,0回
4ターン目,防御ダウン,431,1,1,回復,937,1.3,0.591716,0回,0回
5ターン目,ファイヤ,392,1,1,通常攻撃,812,1.3,0.591716,0回,0回
6ターン目,攻撃アップ,353,1.3,1,通常攻撃,747,1.3,0.591716,0回,0回
7ターン目,ヒール,414,1.3,1,通常攻撃,661,1.3,0.591716,0回,0回
8ターン目,サンダー,375,1.3,1,通常攻撃,515,1.3,0.591716,0回,0回
9ターン目,攻撃ダウン,375,1.3,1,回復,529,1,0.591716,0回,0回
10ターン目,アイス,345,1.3,1,通常攻撃,383,1,0.591716,0回,0回
11ターン目,ヒール,445,1.3,1,回復,397,1,0.591716,0回,0回
12ターン目,防御アップ,445,1.3,1.3,防御アップ,311,1,0.7692308,0回,0回
13ターン目,防御アップ,445,1.3,1.69,防御アップ,227,1,1,0回,0回
14ターン目,防御ダウン,445,1.3,1.69,攻撃アップ,146,1.3,0.7692308,0回,0回
15ターン目,ヒール,500,1.3,1.69,防御アップ,62,1.3,1,0回,0回
16ターン目,主人公のアクションで終了,500,1.3,1.69,死亡,0,1.3,1,0回,0回
 
戦闘3回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,サンダー,500,1,1,防御アップ,1080,1,1.3,0回,0回
2ターン目,防御ダウン,500,1,1,攻撃アップ,1023,1.3,1,0回,0回
3ターン目,ファイヤ,461,1,1,通常攻撃,903,1.3,1,0回,0回
4ターン目,ヒール,500,1,1,攻撃アップ,843,1.69,1,0回,0回
5ターン目,ファイヤ,500,1,1,回復,823,1.69,1,0回,0回
6ターン目,ファイヤ,500,1,1,防御アップ,703,1.69,1.3,0回,0回
7ターン目,攻撃アップ,500,1.3,1,攻撃アップ,646,2.197,1.3,0回,0回
8ターン目,防御アップ,434,1.3,1.3,通常攻撃,568,2.197,1.3,0回,0回
9ターン目,ヒール,434,1.3,1.3,通常攻撃,490,2.197,1.3,0回,0回
10ターン目,ヒール,434,1.3,1.3,通常攻撃,412,2.197,1.3,0回,0回
11ターン目,ヒール,500,1.3,1.3,攻撃アップ,334,2.8561,1.3,0回,0回
12ターン目,防御ダウン,500,1.3,1.3,回復,356,2.8561,1,0回,0回
13ターン目,防御ダウン,414,1.3,1.3,通常攻撃,275,2.8561,0.7692308,0回,0回
14ターン目,ヒール,414,1.3,1.3,通常攻撃,191,2.8561,0.7692308,0回,0回
15ターン目,ヒール,414,1.3,1.3,通常攻撃,107,2.8561,0.7692308,0回,0回
16ターン目,ヒール,500,1.3,1.3,攻撃アップ,23,3.712929,0.7692308,0回,0回
17ターン目,主人公のアクションで終了,500,1.3,1.3,死亡,0,3.712929,0.7692308,0回,0回
 
