戦闘1回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,攻撃アップ,500,1.3,1,回復,1200,1,1,0回,0回
2ターン目,ファイヤ,500,1.3,1,回復,1159,1,1,0回,0回
3ターン目,サンダー,500,1.3,1,攻撃アップ,1018,1.3,1,0回,0回
4ターン目,サンダー,461,1.3,1,通常攻撃,877,1.3,1,0回,0回
5ターン目,アイス,461,1.3,1,防御アップ,736,1.3,1.3,1回,0回
6ターン目,攻撃アップ,461,1.69,1,防御アップ,658,1.3,1.69,2回,0回
7ターン目,攻撃ダウン,461,1.69,1,攻撃アップ,556,1.3,1.69,2回,1回
8ターン目,サンダー,422,1.69,1,通常攻撃,394,1.3,1.69,0回,0回
9ターン目,ファイヤ,422,1.69,1,攻撃アップ,232,1.69,1.69,0回,0回
10ターン目,防御アップ,371,1.69,1.3,通常攻撃,130,1.69,1.69,1回,0回
11ターン目,サンダー,371,1.69,1.3,死亡,0,1.69,1.69,1回,0回
 
戦闘2回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,攻撃アップ,470,1.3,1,通常攻撃,1140,1,1,0回,0回
2ターン目,ファイヤ,440,1.3,1,通常攻撃,999,1,1,0回,0回
3ターン目,サンダー,410,1.3,1,通常攻撃,858,1,1,0回,0回
4ターン目,攻撃ダウン,410,1.3,1,攻撃アップ,777,1,1,0回,0回
5ターン目,攻撃ダウン,386,1.3,1,通常攻撃,696,0.7692308,1,0回,0回
6ターン目,防御アップ,362,1.3,1.3,通常攻撃,615,0.7692308,1,0回,0回
7ターン目,サンダー,338,1.3,1.3,通常攻撃,474,0.7692308,1,0回,0回
8ターン目,攻撃アップ,314,1.69,1.3,通常攻撃,393,0.7692308,1,0回,0回
9ターン目,攻撃ダウン,296,1.69,1.3,通常攻撃,284,0.591716,1,0回,0回
10ターン目,防御ダウン,296,1.69,1.3,回復,275,0.591716,0.7692308,0回,0回
11ターン目,攻撃アップ,278,2.197,1.3,通常攻撃,164,0.591716,0.7692308,0回,0回
12ターン目,防御アップ,278,2.197,1.69,攻撃アップ,17,0.7692308,0.7692308,0回,0回
13ターン目,主人公のアクションで終了,278,2.197,1.69,死亡,0,0.7692308,0.7692308,0回,0回
 
戦闘3回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,アイス,500,1,1,防御アップ,1080,1,1.3,0回,0回
2ターン目,ファイヤ,470,1,1,通常攻撃,963,1,1.3,0回,0回
3ターン目,攻撃ダウン,470,1,1,攻撃アップ,906,1,1.3,0回,0回
4ターン目,ヒール,470,1,1,通常攻撃,849,1,1.3,0回,0回
5ターン目,攻撃ダウン,446,1,1,通常攻撃,792,0.7692308,1.3,0回,0回
6ターン目,攻撃アップ,422,1.3,1,通常攻撃,735,0.7692308,1.3,0回,0回
7ターン目,防御ダウン,398,1.3,1,通常攻撃,657,0.7692308,1,0回,0回
8ターン目,攻撃ダウン,398,1.3,1,攻撃アップ,576,0.591716,1,0回,0回
9ターン目,攻撃ダウン,398,1.3,1,攻撃アップ,495,0.591716,1,0回,0回
10ターン目,攻撃アップ,398,1.69,1,回復,414,0.7692308,1,0回,0回
11ターン目,防御アップ,398,1.69,1.3,攻撃アップ,405,0.7692308,1,0回,0回
12ターン目,ヒール,498,1.69,1.3,攻撃アップ,296,1,1,0回,0回
13ターン目,サンダー,498,1.69,1.3,死亡,127,1.3,1,0回,0回
14ターン目,ファイヤ,498,1.69,1.3,死亡,0,1.3,1,0回,0回
 
