戦闘1回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,アイス,470,1,1,通常攻撃,1080,1,1,1回,0回
2ターン目,アイス,470,1,1,攻撃アップ,960,1.3,1,0回,0回
3ターン目,サンダー,470,1,1,防御アップ,840,1.3,1.3,0回,0回
4ターン目,防御ダウン,431,1,1,通常攻撃,783,1.3,1,0回,1回
5ターン目,ファイヤ,392,1,1,通常攻撃,663,1.3,1,0回,0回
6ターン目,攻撃ダウン,362,1,1,通常攻撃,603,1,1,1回,0回
7ターン目,攻撃ダウン,362,1,1,回復,643,0.7692308,1,1回,0回
8ターン目,防御アップ,338,1,1.3,通常攻撃,583,0.7692308,1,1回,0回
9ターン目,防御アップ,314,1,1.69,通常攻撃,523,0.7692308,1,0回,0回
10ターン目,サンダー,314,1,1.69,攻撃アップ,403,1,1,0回,0回
11ターン目,攻撃アップ,284,1.3,1.69,通常攻撃,343,1,1,0回,0回
12ターン目,攻撃アップ,284,1.69,1.69,攻撃アップ,262,1.3,1,0回,1回
13ターン目,防御アップ,245,1.69,2.197,通常攻撃,153,1.3,1,1回,0回
14ターン目,ヒール,306,1.69,2.197,通常攻撃,44,1.3,1,2回,0回
15ターン目,主人公のアクションで終了,306,1.69,2.197,死亡,0,1.3,1,0回,0回
 
戦闘2回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,ファイヤ,500,1,1,攻撃アップ,1080,1.3,1,0回,0回
2ターン目,攻撃アップ,461,1.3,1,通常攻撃,1020,1.3,1,0回,0回
3ターン目,攻撃ダウン,431,1.3,1,通常攻撃,939,1,1,0回,0回
4ターン目,防御アップ,401,1.3,1.3,通常攻撃,858,1,1,0回,0回
5ターン目,ファイヤ,401,1.3,1.3,防御アップ,717,1,1.3,0回,0回
6ターン目,ファイヤ,401,1.3,1.3,攻撃アップ,579,1.3,1.3,0回,0回
7ターン目,攻撃ダウン,401,1.3,1.3,攻撃アップ,501,1.3,1.3,0回,0回
8ターン目,ヒール,500,1.3,1.3,回復,523,1.3,1.3,0回,0回
9ターン目,防御アップ,461,1.3,1.69,通常攻撃,445,1.3,1.3,0回,0回
10ターン目,攻撃ダウン,431,1.3,1.69,通常攻撃,367,1,1.3,0回,0回
11ターン目,ヒール,500,1.3,1.69,防御アップ,289,1,1.69,0回,0回
12ターン目,ファイヤ,470,1.3,1.69,通常攻撃,154,1,1.69,0回,0回
13ターン目,攻撃ダウン,470,1.3,1.69,防御アップ,79,0.7692308,2.197,0回,0回
14ターン目,ヒール,476,1.3,1.69,通常攻撃,9,0.7692308,2.197,0回,0回
15ターン目,主人公のアクションで終了,476,1.3,1.69,死亡,0,0.7692308,2.197,0回,0回
 
戦闘3回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,攻撃ダウン,476,1,1,通常攻撃,1140,0.7692308,1,0回,0回
2ターン目,防御ダウン,476,1,1,防御アップ,1080,0.7692308,1,0回,0回
3ターン目,防御アップ,476,1,1.3,攻撃アップ,1020,1,1,0回,0回
4ターン目,攻撃ダウン,452,1,1.3,通常攻撃,960,0.7692308,1,0回,0回
5ターン目,防御ダウン,452,1,1.3,通常攻撃,900,0.7692308,0.7692308,0回,0回
6ターン目,防御アップ,428,1,1.69,攻撃アップ,837,0.7692308,0.7692308,0回,0回
7ターン目,アイス,428,1,1.69,攻撃アップ,714,1,0.7692308,0回,0回
8ターン目,防御アップ,428,1,2.197,攻撃アップ,651,1.3,0.7692308,0回,0回
9ターン目,防御アップ,428,1,2.8561,通常攻撃,588,1.69,0.7692308,0回,0回
10ターン目,防御アップ,377,1,3.712929,攻撃アップ,525,1.69,0.7692308,0回,0回
11ターン目,ヒール,477,1,3.712929,回復,462,2.197,0.7692308,0回,0回
12ターン目,アイス,477,1,3.712929,通常攻撃,439,2.197,0.7692308,0回,0回
13ターン目,攻撃ダウン,426,1,3.712929,防御アップ,376,1.69,0.7692308,0回,0回
14ターン目,攻撃アップ,426,1.3,3.712929,通常攻撃,313,1.69,1,0回,0回
15ターン目,攻撃ダウン,387,1.3,3.712929,通常攻撃,232,1.3,1,0回,0回
16ターン目,サンダー,348,1.3,3.712929,通常攻撃,91,1.3,1,0回,0回
17ターン目,防御アップ,309,1.3,4.826808,死亡,10,1.3,1,0回,0回
18ターン目,主人公のアクションで終了,309,1.3,4.826808,死亡,0,1.3,1,0回,0回
 
