戦闘1回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,サンダー,500,1,1,防御アップ,1080,1,1.3,0回,0回
2ターン目,サンダー,500,1,1,回復,1063,1,1.3,0回,0回
3ターン目,防御アップ,500,1,1.3,攻撃アップ,1006,1.3,1.3,0回,0回
4ターン目,ファイヤ,500,1,1.3,攻撃アップ,889,1.69,1.3,0回,0回
5ターン目,防御ダウン,449,1,1.3,通常攻撃,832,1.69,1,4回,0回
6ターン目,攻撃ダウン,410,1,1.3,通常攻撃,772,1.3,1,1回,0回
7ターン目,攻撃アップ,410,1.3,1.3,回復,812,1.3,1,0回,0回
8ターン目,ファイヤ,371,1.3,1.3,通常攻撃,671,1.3,1,0回,0回
9ターン目,防御アップ,371,1.3,1.69,攻撃アップ,590,1.69,1,1回,0回
10ターン目,攻撃アップ,320,1.69,1.69,通常攻撃,509,1.69,1,2回,0回
11ターン目,ヒール,369,1.69,1.69,通常攻撃,400,1.69,1,1回,0回
12ターン目,攻撃アップ,369,2.197,1.69,攻撃アップ,291,2.197,1,2回,0回
13ターン目,防御アップ,303,2.197,2.197,通常攻撃,147,2.197,1,3回,0回
14ターン目,防御ダウン,237,2.197,2.197,通常攻撃,3,2.197,0.7692308,0回,0回
15ターン目,主人公のアクションで終了,237,2.197,2.197,死亡,0,2.197,0.7692308,0回,0回
 
戦闘2回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,サンダー,500,1,1,防御アップ,1080,1,1.3,0回,0回
2ターン目,ファイヤ,500,1,1,防御アップ,963,1,1.69,0回,0回
3ターン目,サンダー,500,1,1,防御アップ,849,1,2.197,0回,0回
4ターン目,防御アップ,500,1,1.3,攻撃アップ,800,1.3,2.197,0回,0回
5ターン目,攻撃アップ,461,1.3,1.3,通常攻撃,751,1.3,2.197,0回,0回
6ターン目,アイス,461,1.3,1.3,攻撃アップ,621,1.69,2.197,0回,0回
7ターン目,攻撃アップ,461,1.69,1.3,防御アップ,551,1.69,2.8561,0回,0回
8ターン目,防御ダウン,461,1.69,1.3,回復,561,1.69,2.197,0回,0回
9ターン目,防御アップ,410,1.69,1.69,通常攻撃,464,1.69,2.197,0回,0回
10ターン目,防御ダウン,410,1.69,1.69,攻撃アップ,367,2.197,1.69,0回,0回
11ターン目,防御アップ,344,1.69,2.197,通常攻撃,265,2.197,1.69,0回,0回
12ターン目,防御アップ,278,1.69,2.8561,通常攻撃,163,2.197,1.69,0回,0回
13ターン目,ヒール,378,1.69,2.8561,攻撃アップ,61,2.8561,1.69,0回,0回
14ターン目,主人公のアクションで終了,378,1.69,2.8561,死亡,0,2.8561,1.69,0回,0回
 
戦闘3回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,防御ダウン,500,1,1,防御アップ,1140,1,1,0回,0回
2ターン目,防御ダウン,470,1,1,通常攻撃,1080,1,0.7692308,0回,0回
3ターン目,防御アップ,470,1,1.3,攻撃アップ,1017,1.3,0.7692308,0回,0回
4ターン目,防御アップ,431,1,1.69,通常攻撃,954,1.3,0.7692308,0回,0回
5ターン目,攻撃ダウン,401,1,1.69,通常攻撃,891,1,0.7692308,0回,0回
6ターン目,防御ダウン,401,1,1.69,攻撃アップ,828,1.3,0.591716,0回,0回
7ターン目,防御アップ,362,1,2.197,通常攻撃,763,1.3,0.591716,0回,0回
8ターン目,防御ダウン,362,1,2.197,攻撃アップ,698,1.69,0.4551662,0回,0回
9ターン目,攻撃アップ,311,1.3,2.197,通常攻撃,632,1.69,0.4551662,0回,0回
10ターン目,ファイヤ,260,1.3,2.197,通常攻撃,485,1.69,0.4551662,0回,0回
11ターン目,攻撃ダウン,260,1.3,2.197,攻撃アップ,398,1.69,0.4551662,0回,0回
12ターン目,攻撃アップ,209,1.69,2.197,通常攻撃,311,1.69,0.4551662,0回,0回
13ターン目,攻撃アップ,209,2.197,2.197,攻撃アップ,197,2.197,0.4551662,0回,0回
14ターン目,ヒール,309,2.197,2.197,攻撃アップ,47,2.8561,0.4551662,0回,0回
15ターン目,主人公のアクションで終了,309,2.197,2.197,死亡,0,2.8561,0.4551662,0回,0回
 
