戦闘1回目,バランス重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,攻撃ダウン,500,1,1,回復,1200,0.7692308,1,1回,0回
2ターン目,攻撃ダウン,482,1,1,通常攻撃,1140,0.591716,1,0回,0回
3ターン目,ファイヤ,464,1,1,通常攻撃,1020,0.591716,1,1回,0回
4ターン目,アイス,446,1,1,通常攻撃,900,0.591716,1,0回,0回
5ターン目,サンダー,446,1,1,防御アップ,780,0.591716,1.3,0回,0回
6ターン目,攻撃アップ,446,1.3,1,防御アップ,723,0.591716,1.69,2回,0回
7ターン目,ファイヤ,446,1.3,1,防御アップ,588,0.591716,2.197,0回,0回
8ターン目,ヒール,482,1.3,1,通常攻撃,518,0.591716,2.197,0回,0回
9ターン目,攻撃アップ,464,1.69,1,通常攻撃,448,0.591716,2.197,1回,0回
10ターン目,アイス,446,1.69,1,通常攻撃,291,0.591716,2.197,0回,0回
11ターン目,ファイヤ,428,1.69,1,通常攻撃,134,0.591716,2.197,0回,0回
12ターン目,防御アップ,410,1.69,1.3,通常攻撃,37,0.591716,2.197,0回,0回
13ターン目,主人公のアクションで終了,410,1.69,1.3,死亡,0,0.591716,2.197,0回,0回
 
戦闘2回目,バランス重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,サンダー,500,1,1,攻撃アップ,1080,1.3,1,0回,0回
2ターン目,攻撃アップ,461,1.3,1,通常攻撃,1020,1.3,1,0回,0回
3ターン目,ヒール,500,1.3,1,回復,1039,1.3,1,0回,0回
4ターン目,サンダー,461,1.3,1,通常攻撃,898,1.3,1,0回,0回
5ターン目,攻撃アップ,422,1.69,1,通常攻撃,817,1.3,1,0回,0回
6ターン目,攻撃アップ,383,2.197,1,通常攻撃,708,1.3,1,0回,0回
7ターン目,防御アップ,344,2.197,1.3,通常攻撃,564,1.3,1,0回,0回
8ターン目,防御アップ,344,2.197,1.69,回復,520,1.3,1,0回,0回
9ターン目,ファイヤ,305,2.197,1.69,通常攻撃,316,1.3,1,0回,0回
10ターン目,防御アップ,266,2.197,2.197,通常攻撃,172,1.3,1,0回,0回
11ターン目,攻撃アップ,266,2.8561,2.197,防御アップ,28,1.3,1.3,0回,0回
12ターン目,主人公のアクションで終了,266,2.8561,2.197,死亡,0,1.3,1.3,0回,0回
 
戦闘3回目,バランス重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,攻撃アップ,470,1.3,1,通常攻撃,1140,1,1,0回,0回
2ターン目,ファイヤ,440,1.3,1,通常攻撃,999,1,1,0回,0回
3ターン目,ファイヤ,410,1.3,1,通常攻撃,858,1,1,0回,0回
4ターン目,ヒール,500,1.3,1,防御アップ,777,1,1.3,0回,0回
5ターン目,攻撃アップ,500,1.69,1,防御アップ,699,1,1.69,0回,0回
6ターン目,ファイヤ,470,1.69,1,通常攻撃,537,1,1.69,0回,0回
7ターン目,攻撃アップ,440,2.197,1,通常攻撃,435,1,1.69,0回,0回
8ターン目,攻撃アップ,440,2.8561,1,攻撃アップ,298,1.3,1.69,0回,0回
9ターン目,サンダー,440,2.8561,1,攻撃アップ,54,1.69,1.69,0回,0回
10ターン目,主人公のアクションで終了,440,2.8561,1,死亡,0,1.69,1.69,0回,0回
 
