戦闘1回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,防御ダウン,470,1,1,通常攻撃,1140,1,0.7692308,0回,0回
2ターン目,アイス,470,1,1,防御アップ,1017,1,1,0回,0回
3ターン目,攻撃アップ,440,1.3,1,通常攻撃,957,1,1,8回,2回
4ターン目,攻撃ダウン,440,1.3,1,防御アップ,876,0.7692308,1.3,0回,0回
5ターン目,アイス,416,1.3,1,通常攻撃,738,0.7692308,1.3,0回,0回
6ターン目,アイス,416,1.3,1,回復,700,0.7692308,1.3,0回,0回
7ターン目,攻撃ダウン,416,1.3,1,防御アップ,622,0.591716,1.69,0回,0回
8ターン目,攻撃ダウン,416,1.3,1,防御アップ,547,0.4551662,2.197,0回,0回
9ターン目,防御ダウン,402,1.3,1,通常攻撃,477,0.4551662,1.69,7回,0回
10ターン目,サンダー,402,1.3,1,防御アップ,342,0.4551662,2.197,0回,0回
11ターン目,ヒール,486,1.3,1,通常攻撃,272,0.4551662,2.197,0回,0回
12ターン目,攻撃アップ,486,1.69,1,回復,302,0.4551662,2.197,0回,0回
13ターン目,攻撃アップ,486,2.197,1,防御アップ,205,0.4551662,2.8561,0回,0回
14ターン目,ヒール,486,2.197,1,通常攻撃,79,0.4551662,2.8561,0回,0回
15ターン目,主人公のアクションで終了,486,2.197,1,死亡,0,0.4551662,2.8561,0回,0回
 
戦闘2回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,防御アップ,470,1,1.3,通常攻撃,1140,1,1,0回,0回
2ターン目,攻撃アップ,470,1.3,1.3,攻撃アップ,1080,1,1,0回,0回
3ターン目,防御アップ,470,1.3,1.69,通常攻撃,999,1.3,1,0回,0回
4ターン目,アイス,431,1.3,1.69,通常攻撃,858,1.3,1,0回,0回
5ターン目,防御ダウン,392,1.3,1.69,通常攻撃,777,1.3,0.7692308,0回,0回
6ターン目,防御ダウン,353,1.3,1.69,防御アップ,693,1.3,0.591716,0回,0回
7ターン目,ヒール,453,1.3,1.69,防御アップ,607,1.3,0.7692308,0回,0回
8ターン目,攻撃アップ,453,1.69,1.69,回復,523,1.3,1,0回,0回
9ターン目,攻撃ダウン,453,1.69,1.69,通常攻撃,514,1,1,0回,0回
10ターン目,攻撃ダウン,429,1.69,1.69,攻撃アップ,405,0.7692308,1,0回,0回
11ターン目,ファイヤ,429,1.69,1.69,防御アップ,236,1,1,0回,0回
12ターン目,防御ダウン,429,1.69,1.69,防御アップ,127,1,1,0回,0回
13ターン目,ヒール,500,1.69,1.69,死亡,18,1,1.3,0回,0回
14ターン目,主人公のアクションで終了,500,1.69,1.69,死亡,0,1,1.3,0回,0回
 
戦闘3回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,防御ダウン,470,1,1,通常攻撃,1140,1,0.7692308,0回,0回
2ターン目,サンダー,440,1,1,通常攻撃,1017,1,0.7692308,0回,0回
3ターン目,防御ダウン,410,1,1,通常攻撃,954,1,0.591716,0回,0回
4ターン目,攻撃アップ,410,1.3,1,回復,989,1,0.591716,0回,0回
5ターン目,攻撃アップ,410,1.69,1,防御アップ,903,1,0.7692308,0回,0回
6ターン目,防御ダウン,410,1.69,1,攻撃アップ,792,1.3,0.591716,0回,0回
7ターン目,防御ダウン,410,1.69,1,攻撃アップ,679,1.69,0.4551662,0回,0回
8ターン目,防御ダウン,410,1.69,1,防御アップ,565,1.69,0.4551661,0回,0回
9ターン目,攻撃アップ,359,2.197,1,通常攻撃,451,1.69,0.4551661,0回,0回
10ターン目,サンダー,308,2.197,1,通常攻撃,241,1.69,0.4551661,0回,0回
11ターン目,防御ダウン,308,2.197,1,防御アップ,91,1.69,0.4551661,0回,0回
12ターン目,主人公のアクションで終了,308,2.197,1,死亡,0,1.69,0.4551661,0回,0回
 
