戦闘1回目,攻撃重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,サンダー,500,1,1,攻撃アップ,1080,1.3,1,1回,0回
2ターン目,サンダー,461,1,1,通常攻撃,960,1.3,1,1回,0回
3ターン目,攻撃アップ,422,1.3,1,通常攻撃,900,1.3,1,1回,0回
4ターン目,攻撃アップ,422,1.69,1,防御アップ,819,1.3,1.3,1回,0回
5ターン目,アイス,383,1.69,1,通常攻撃,653,1.3,1.3,0回,0回
6ターン目,ファイヤ,383,1.69,1,防御アップ,487,1.3,1.69,1回,0回
7ターン目,防御アップ,383,1.69,1.3,防御アップ,385,1.3,2.197,0回,0回
8ターン目,攻撃ダウン,383,1.69,1.3,攻撃アップ,288,1.3,2.197,0回,0回
9ターン目,攻撃アップ,383,2.197,1.3,防御アップ,191,1.3,2.8561,1回,0回
10ターン目,アイス,383,2.197,1.3,攻撃アップ,5,1.69,2.8561,1回,0回
11ターン目,主人公のアクションで終了,383,2.197,1.3,死亡,0,1.69,2.8561,0回,0回
 
戦闘2回目,攻撃重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,ファイヤ,470,1,1,通常攻撃,1080,1,1,0回,0回
2ターン目,サンダー,470,1,1,防御アップ,960,1,1.3,0回,0回
3ターン目,アイス,440,1,1,通常攻撃,843,1,1.3,0回,0回
4ターン目,アイス,440,1,1,攻撃アップ,726,1.3,1.3,0回,0回
5ターン目,防御ダウン,440,1,1,攻撃アップ,669,1.69,1,0回,0回
6ターン目,防御アップ,440,1,1.3,攻撃アップ,609,2.197,1,0回,0回
7ターン目,サンダー,440,1,1.3,攻撃アップ,489,2.8561,1,0回,0回
8ターン目,アイス,354,1,1.3,通常攻撃,369,2.8561,1,0回,0回
9ターン目,サンダー,268,1,1.3,通常攻撃,249,2.8561,1,0回,0回
10ターン目,アイス,268,1,1.3,回復,229,2.8561,1,0回,0回
11ターン目,防御アップ,182,1,1.69,通常攻撃,169,2.8561,1,0回,0回
12ターン目,アイス,182,1,1.69,防御アップ,49,2.8561,1.3,0回,0回
13ターン目,主人公のアクションで終了,182,1,1.69,死亡,0,2.8561,1.3,0回,0回
 
戦闘3回目,攻撃重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,アイス,470,1,1,通常攻撃,1080,1,1,0回,0回
2ターン目,ファイヤ,470,1,1,防御アップ,960,1,1.3,0回,0回
3ターン目,サンダー,440,1,1,通常攻撃,843,1,1.3,0回,0回
4ターン目,サンダー,410,1,1,通常攻撃,726,1,1.3,0回,0回
5ターン目,攻撃アップ,410,1.3,1,回復,769,1,1.3,0回,0回
6ターン目,攻撃アップ,410,1.69,1,攻撃アップ,691,1.3,1.3,0回,0回
7ターン目,サンダー,410,1.69,1,攻撃アップ,525,1.69,1.3,0回,0回
8ターン目,アイス,410,1.69,1,防御アップ,359,1.69,1.69,0回,0回
9ターン目,攻撃アップ,359,2.197,1,通常攻撃,257,1.69,1.69,0回,0回
10ターン目,サンダー,308,2.197,1,通常攻撃,60,1.69,1.69,0回,0回
11ターン目,主人公のアクションで終了,308,2.197,1,死亡,0,1.69,1.69,0回,0回
 
