戦闘1回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,サンダー,470,1,1,通常攻撃,1080,1,1,0回,0回
2ターン目,サンダー,440,1,1,通常攻撃,960,1,1,1回,0回
3ターン目,アイス,410,1,1,通常攻撃,840,1,1,0回,1回
4ターン目,ファイヤ,410,1,1,回復,820,1,1,0回,1回
5ターン目,防御アップ,380,1,1.3,通常攻撃,760,1,1,0回,1回
6ターン目,ヒール,480,1,1.3,防御アップ,700,1,1.3,0回,1回
7ターン目,アイス,480,1,1.3,回復,683,1,1.3,0回,0回
8ターン目,攻撃ダウン,456,1,1.3,通常攻撃,626,0.7692308,1.3,0回,0回
9ターン目,アイス,456,1,1.3,攻撃アップ,509,1,1.3,1回,0回
10ターン目,攻撃ダウン,456,1,1.3,防御アップ,452,0.7692308,1.69,1回,0回
11ターン目,攻撃アップ,432,1.3,1.3,通常攻撃,398,0.7692308,1.69,1回,0回
12ターン目,防御アップ,408,1.3,1.69,通常攻撃,323,0.7692308,1.69,0回,0回
13ターン目,ヒール,500,1.3,1.69,攻撃アップ,248,1,1.69,1回,0回
14ターン目,アイス,470,1.3,1.69,通常攻撃,113,1,1.69,1回,0回
15ターン目,防御ダウン,440,1.3,1.69,通常攻撃,38,1,1.3,0回,0回
16ターン目,主人公のアクションで終了,440,1.3,1.69,死亡,0,1,1.3,0回,0回
 
戦闘2回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,攻撃アップ,500,1.3,1,回復,1200,1,1,0回,0回
2ターン目,防御ダウン,470,1.3,1,通常攻撃,1119,1,0.7692308,0回,0回
3ターン目,防御アップ,440,1.3,1.3,通常攻撃,1035,1,0.7692308,0回,0回
4ターン目,防御アップ,410,1.3,1.69,通常攻撃,951,1,0.7692308,0回,0回
5ターン目,攻撃アップ,380,1.69,1.69,通常攻撃,867,1,0.7692308,0回,0回
6ターン目,ヒール,480,1.69,1.69,防御アップ,756,1,1,0回,0回
7ターン目,ヒール,470,1.69,1.69,通常攻撃,647,1,1,0回,0回
8ターン目,防御ダウン,440,1.69,1.69,通常攻撃,538,1,0.7692308,0回,0回
9ターン目,ヒール,500,1.69,1.69,防御アップ,427,1,1,0回,0回
10ターン目,攻撃アップ,500,2.197,1.69,回復,418,1,1,0回,0回
11ターン目,アイス,470,2.197,1.69,通常攻撃,214,1,1,0回,0回
12ターン目,防御アップ,470,2.197,2.197,攻撃アップ,70,1.3,1,0回,0回
13ターン目,主人公のアクションで終了,470,2.197,2.197,死亡,0,1.3,1,0回,0回
 
戦闘3回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,防御アップ,500,1,1.3,防御アップ,1140,1,1.3,0回,0回
2ターン目,防御アップ,500,1,1.69,回復,1183,1,1.3,0回,0回
3ターン目,防御ダウン,470,1,1.69,通常攻撃,1126,1,1,0回,0回
4ターン目,ファイヤ,440,1,1.69,通常攻撃,1006,1,1,0回,0回
5ターン目,サンダー,410,1,1.69,通常攻撃,886,1,1,0回,0回
6ターン目,攻撃アップ,410,1.3,1.69,攻撃アップ,826,1.3,1,0回,0回
7ターン目,ファイヤ,371,1.3,1.69,通常攻撃,685,1.3,1,0回,0回
8ターン目,サンダー,371,1.3,1.69,攻撃アップ,544,1.69,1,0回,0回
9ターン目,ヒール,420,1.3,1.69,通常攻撃,463,1.69,1,0回,0回
10ターン目,アイス,420,1.3,1.69,攻撃アップ,322,2.197,1,0回,0回
11ターン目,アイス,354,1.3,1.69,通常攻撃,181,2.197,1,0回,0回
12ターン目,防御アップ,288,1.3,2.197,通常攻撃,100,2.197,1,0回,0回
13ターン目,アイス,288,1.3,2.197,死亡,0,2.197,1,0回,0回
 
