戦闘1回目,バランス重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,アイス,500,1,1,防御アップ,1080,1,1.3,1回,0回
2ターン目,ファイヤ,500,1,1,回復,1063,1,1.3,0回,0回
3ターン目,サンダー,470,1,1,通常攻撃,946,1,1.3,0回,0回
4ターン目,攻撃ダウン,446,1,1,通常攻撃,889,0.7692308,1.3,1回,0回
5ターン目,ヒール,500,1,1,防御アップ,832,0.7692308,1.69,1回,0回
6ターン目,攻撃アップ,500,1.3,1,攻撃アップ,778,1,1.69,1回,0回
7ターン目,攻撃アップ,500,1.69,1,防御アップ,703,1,2.197,0回,0回
8ターン目,ファイヤ,470,1.69,1,通常攻撃,546,1,2.197,0回,0回
9ターン目,攻撃アップ,470,2.197,1,攻撃アップ,449,1.3,2.197,1回,0回
10ターン目,攻撃アップ,431,2.8561,1,通常攻撃,317,1.3,2.197,0回,0回
11ターン目,アイス,431,2.8561,1,防御アップ,79,1.3,2.8561,0回,0回
12ターン目,主人公のアクションで終了,431,2.8561,1,死亡,0,1.3,2.8561,0回,0回
 
戦闘2回目,バランス重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,攻撃ダウン,500,1,1,防御アップ,1140,0.7692308,1.3,0回,0回
2ターン目,攻撃アップ,476,1.3,1,通常攻撃,1083,0.7692308,1.3,0回,0回
3ターン目,アイス,476,1.3,1,攻撃アップ,945,1,1.3,0回,0回
4ターン目,攻撃ダウン,476,1.3,1,回復,967,0.7692308,1.3,0回,0回
5ターン目,攻撃ダウン,476,1.3,1,防御アップ,889,0.591716,1.69,0回,0回
6ターン目,ファイヤ,476,1.3,1,攻撃アップ,754,0.7692308,1.69,0回,0回
7ターン目,攻撃アップ,476,1.69,1,攻撃アップ,679,1,1.69,0回,0回
8ターン目,攻撃アップ,446,2.197,1,通常攻撃,577,1,1.69,0回,0回
9ターン目,アイス,416,2.197,1,通常攻撃,380,1,1.69,0回,0回
10ターン目,攻撃アップ,416,2.8561,1,防御アップ,243,1,2.197,0回,0回
11ターン目,防御ダウン,386,2.8561,1,通常攻撃,65,1,1.69,0回,0回
12ターン目,主人公のアクションで終了,386,2.8561,1,死亡,0,1,1.69,0回,0回
 
戦闘3回目,バランス重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,攻撃ダウン,476,1,1,通常攻撃,1140,0.7692308,1,0回,0回
2ターン目,アイス,452,1,1,通常攻撃,1020,0.7692308,1,0回,0回
3ターン目,攻撃アップ,428,1.3,1,通常攻撃,960,0.7692308,1,0回,0回
4ターン目,攻撃ダウン,410,1.3,1,通常攻撃,879,0.591716,1,0回,0回
5ターン目,攻撃アップ,392,1.69,1,通常攻撃,798,0.591716,1,0回,0回
6ターン目,攻撃アップ,392,2.197,1,回復,789,0.591716,1,0回,0回
7ターン目,攻撃ダウン,378,2.197,1,通常攻撃,645,0.4551662,1,0回,0回
8ターン目,攻撃アップ,378,2.8561,1,防御アップ,501,0.4551662,1.3,0回,0回
9ターン目,攻撃アップ,364,3.712929,1,通常攻撃,314,0.4551662,1.3,0回,0回
10ターン目,攻撃アップ,364,4.826808,1,防御アップ,67,0.4551662,1.69,0回,0回
11ターン目,主人公のアクションで終了,364,4.826808,1,死亡,0,0.4551662,1.69,0回,0回
 
