戦闘1回目,バランス重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,攻撃ダウン,476,1,1,通常攻撃,1140,0.7692308,1,0回,0回
2ターン目,防御アップ,476,1,1.3,回復,1180,0.7692308,1,1回,0回
3ターン目,サンダー,476,1,1.3,回復,1160,0.7692308,1,0回,0回
4ターン目,防御アップ,476,1,1.69,回復,1100,0.7692308,1,0回,0回
5ターン目,攻撃アップ,476,1.3,1.69,通常攻撃,1140,0.7692308,1,1回,0回
6ターン目,アイス,452,1.3,1.69,攻撃アップ,999,0.7692308,1,0回,0回
7ターン目,ファイヤ,452,1.3,1.69,通常攻撃,858,1,1,0回,0回
8ターン目,攻撃アップ,422,1.69,1.69,防御アップ,777,1,1,1回,0回
9ターン目,ファイヤ,422,1.69,1.69,攻撃アップ,608,1,1.3,0回,0回
10ターン目,攻撃ダウン,422,1.69,1.69,通常攻撃,502,1,1.3,0回,0回
11ターン目,サンダー,392,1.69,1.69,回復,336,1,1.3,0回,0回
12ターン目,サンダー,392,1.69,1.69,防御アップ,270,1,1.3,0回,0回
13ターン目,アイス,392,1.69,1.69,防御アップ,104,1,1.69,0回,0回
14ターン目,ヒール,492,1.69,1.69,死亡,2,1,2.197,0回,0回
15ターン目,主人公のアクションで終了,492,1.69,1.69,死亡,0,1,2.197,0回,0回
 
戦闘2回目,バランス重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,攻撃アップ,470,1.3,1,通常攻撃,1140,1,1,0回,0回
2ターン目,アイス,440,1.3,1,通常攻撃,999,1,1,0回,0回
3ターン目,防御アップ,440,1.3,1.3,回復,1018,1,1,0回,0回
4ターン目,アイス,410,1.3,1.3,通常攻撃,877,1,1,0回,0回
5ターン目,防御ダウン,410,1.3,1.3,防御アップ,796,1,1,0回,0回
6ターン目,攻撃アップ,380,1.69,1.3,通常攻撃,715,1,1,0回,0回
7ターン目,攻撃アップ,350,2.197,1.3,通常攻撃,606,1,1,0回,0回
8ターン目,攻撃ダウン,350,2.197,1.3,回復,562,0.7692308,1,0回,0回
9ターン目,ヒール,426,2.197,1.3,通常攻撃,418,0.7692308,1,0回,0回
10ターン目,ファイヤ,426,2.197,1.3,防御アップ,214,0.7692308,1.3,0回,0回
11ターン目,防御アップ,402,2.197,1.69,通常攻撃,73,0.7692308,1.3,0回,0回
12ターン目,主人公のアクションで終了,402,2.197,1.69,死亡,0,0.7692308,1.3,0回,0回
 
戦闘3回目,バランス重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,ファイヤ,500,1,1,防御アップ,1080,1,1.3,0回,0回
2ターン目,攻撃アップ,470,1.3,1,通常攻撃,1023,1,1.3,0回,0回
3ターン目,攻撃アップ,470,1.69,1,防御アップ,945,1,1.69,0回,0回
4ターン目,防御アップ,440,1.69,1.3,通常攻撃,843,1,1.69,0回,0回
5ターン目,攻撃アップ,410,2.197,1.3,通常攻撃,741,1,1.69,0回,0回
6ターン目,攻撃アップ,380,2.8561,1.3,通常攻撃,604,1,1.69,0回,0回
7ターン目,防御アップ,350,2.8561,1.69,通常攻撃,420,1,1.69,0回,0回
8ターン目,攻撃アップ,350,3.712929,1.69,攻撃アップ,236,1.3,1.69,0回,0回
9ターン目,主人公のアクションで終了,350,3.712929,1.69,死亡,0,1.3,1.69,0回,0回
 
