戦闘1回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,ファイヤ,500,1,1,攻撃アップ,1080,1.3,1,0回,0回
2ターン目,アイス,500,1,1,防御アップ,960,1.3,1.3,0回,0回
3ターン目,アイス,461,1,1,通常攻撃,843,1.3,1.3,1回,0回
4ターン目,サンダー,422,1,1,通常攻撃,726,1.3,1.3,4回,0回
5ターン目,アイス,422,1,1,通常攻撃,609,1.3,1.3,0回,0回
6ターン目,防御アップ,383,1,1.3,攻撃アップ,552,1.3,1.3,3回,0回
7ターン目,攻撃ダウン,383,1,1.3,通常攻撃,495,1.3,1.3,3回,0回
8ターン目,攻撃アップ,344,1.3,1.3,通常攻撃,438,1.3,1.3,4回,0回
9ターン目,防御ダウン,305,1.3,1.3,通常攻撃,360,1.3,1,4回,0回
10ターン目,アイス,266,1.3,1.3,回復,219,1.3,1,0回,0回
11ターン目,防御ダウン,266,1.3,1.3,通常攻撃,238,1.3,0.7692308,4回,0回
12ターン目,攻撃ダウン,236,1.3,1.3,通常攻撃,154,1,0.7692308,2回,0回
13ターン目,ファイヤ,206,1.3,1.3,死亡,10,1,0.7692308,1回,0回
14ターン目,主人公のアクションで終了,206,1.3,1.3,死亡,0,1,0.7692308,0回,0回
 
戦闘2回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,サンダー,500,1,1,防御アップ,1080,1,1.3,0回,0回
2ターン目,ファイヤ,470,1,1,通常攻撃,963,1,1.3,0回,0回
3ターン目,攻撃アップ,470,1.3,1,防御アップ,906,1,1.69,0回,0回
4ターン目,防御アップ,470,1.3,1.3,防御アップ,831,1,2.197,0回,0回
5ターン目,サンダー,440,1.3,1.3,通常攻撃,701,1,2.197,0回,0回
6ターン目,ヒール,500,1.3,1.3,攻撃アップ,631,1.3,2.197,0回,0回
7ターン目,攻撃アップ,500,1.69,1.3,回復,661,1.3,2.197,0回,0回
8ターン目,防御ダウン,461,1.69,1.3,通常攻撃,564,1.3,1.69,0回,0回
9ターン目,攻撃ダウン,461,1.69,1.3,攻撃アップ,462,1.3,1.69,0回,0回
10ターン目,ヒール,500,1.69,1.3,通常攻撃,360,1.3,1.69,0回,0回
11ターン目,攻撃ダウン,470,1.69,1.3,防御アップ,258,1,1.69,0回,0回
12ターン目,防御ダウン,470,1.69,1.3,通常攻撃,156,1,1.69,0回,0回
13ターン目,防御アップ,440,1.69,1.69,死亡,54,1,1.69,0回,0回
14ターン目,主人公のアクションで終了,440,1.69,1.69,死亡,0,1,1.69,0回,0回
 
戦闘3回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,攻撃ダウン,476,1,1,通常攻撃,1140,0.7692308,1,0回,0回
2ターン目,攻撃ダウン,476,1,1,防御アップ,1080,0.591716,1.3,0回,0回
3ターン目,攻撃ダウン,476,1,1,防御アップ,1023,0.4551662,1.69,0回,0回
4ターン目,攻撃アップ,462,1.3,1,通常攻撃,969,0.4551662,1.69,0回,0回
5ターン目,攻撃ダウン,462,1.3,1,防御アップ,894,0.3501278,2.197,0回,0回
6ターン目,サンダー,462,1.3,1,攻撃アップ,764,0.4551661,2.197,0回,0回
7ターン目,攻撃ダウン,462,1.3,1,攻撃アップ,694,0.4551661,2.197,0回,0回
8ターン目,防御ダウン,448,1.3,1,通常攻撃,624,0.4551661,1.69,0回,0回
9ターン目,攻撃アップ,448,1.69,1,攻撃アップ,549,0.5917159,1.69,0回,0回
10ターン目,防御アップ,430,1.69,1.3,通常攻撃,447,0.5917159,1.69,0回,0回
11ターン目,攻撃ダウン,416,1.69,1.3,通常攻撃,345,0.4551661,1.69,0回,0回
12ターン目,防御ダウン,416,1.69,1.3,防御アップ,243,0.4551661,1.69,0回,0回
13ターン目,攻撃アップ,416,2.197,1.3,攻撃アップ,141,0.5917159,1.69,0回,0回
14ターン目,サンダー,416,2.197,1.3,死亡,0,0.5917159,1.69,0回,0回
 
