戦闘1回目,バランス重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,ファイヤ,470,1,1,通常攻撃,1080,1,1,2回,0回
2ターン目,防御ダウン,440,1,1,通常攻撃,1020,1,0.7692308,1回,0回
3ターン目,攻撃アップ,440,1.3,1,防御アップ,957,1,1,0回,0回
4ターン目,サンダー,440,1.3,1,防御アップ,816,1,1.3,1回,0回
5ターン目,ヒール,470,1.3,1,通常攻撃,738,1,1.3,1回,0回
6ターン目,防御ダウン,470,1.3,1,防御アップ,660,1,1.3,1回,0回
7ターン目,防御ダウン,440,1.3,1,通常攻撃,582,1,1,1回,0回
8ターン目,ヒール,500,1.3,1,防御アップ,501,1,1.3,0回,0回
9ターン目,攻撃アップ,470,1.69,1,通常攻撃,423,1,1.3,1回,0回
10ターン目,攻撃ダウン,446,1.69,1,通常攻撃,317,0.7692308,1.3,1回,0回
11ターン目,防御アップ,422,1.69,1.3,通常攻撃,211,0.7692308,1.3,0回,0回
12ターン目,防御ダウン,398,1.69,1.3,通常攻撃,105,0.7692308,1,1回,0回
13ターン目,主人公のアクションで終了,398,1.69,1.3,死亡,0,0.7692308,1,0回,0回
 
戦闘2回目,バランス重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,サンダー,500,1,1,攻撃アップ,1080,1.3,1,0回,0回
2ターン目,防御ダウン,500,1,1,防御アップ,1020,1.3,1,0回,0回
3ターン目,ファイヤ,461,1,1,通常攻撃,900,1.3,1,0回,0回
4ターン目,ファイヤ,461,1,1,回復,880,1.3,1,0回,0回
5ターン目,サンダー,422,1,1,通常攻撃,760,1.3,1,0回,0回
6ターン目,防御アップ,422,1,1.3,攻撃アップ,700,1.69,1,0回,0回
7ターン目,防御ダウン,371,1,1.3,通常攻撃,640,1.69,0.7692308,0回,0回
8ターン目,ファイヤ,320,1,1.3,通常攻撃,517,1.69,0.7692308,0回,0回
9ターン目,攻撃アップ,320,1.3,1.3,攻撃アップ,454,2.197,0.7692308,0回,0回
10ターン目,攻撃ダウン,320,1.3,1.3,攻撃アップ,370,2.197,0.7692308,0回,0回
11ターン目,サンダー,254,1.3,1.3,通常攻撃,226,2.197,0.7692308,0回,0回
12ターン目,防御ダウン,188,1.3,1.3,通常攻撃,142,2.197,0.591716,0回,0回
13ターン目,ファイヤ,188,1.3,1.3,死亡,0,2.197,0.591716,0回,0回
 
戦闘3回目,バランス重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,サンダー,470,1,1,通常攻撃,1080,1,1,0回,0回
2ターン目,ファイヤ,440,1,1,通常攻撃,960,1,1,0回,0回
3ターン目,防御ダウン,410,1,1,通常攻撃,900,1,0.7692308,0回,0回
4ターン目,攻撃アップ,410,1.3,1,防御アップ,837,1,1,0回,0回
5ターン目,防御ダウン,410,1.3,1,防御アップ,756,1,1,0回,0回
6ターン目,ヒール,500,1.3,1,防御アップ,675,1,1.3,0回,0回
7ターン目,防御ダウン,500,1.3,1,攻撃アップ,597,1.3,1,0回,0回
8ターン目,ファイヤ,461,1.3,1,通常攻撃,456,1.3,1,0回,0回
9ターン目,攻撃ダウン,461,1.3,1,防御アップ,375,1,1.3,0回,0回
10ターン目,防御ダウン,461,1.3,1,攻撃アップ,297,1.3,1,0回,0回
11ターン目,サンダー,461,1.3,1,攻撃アップ,156,1.69,1,0回,0回
12ターン目,防御ダウン,461,1.3,1,攻撃アップ,75,2.197,0.7692308,0回,0回
13ターン目,主人公のアクションで終了,461,1.3,1,死亡,0,2.197,0.7692308,0回,0回
 
