戦闘1回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,アイス,470,1,1,通常攻撃,1080,1,1,0回,0回
2ターン目,サンダー,470,1,1,防御アップ,960,1,1.3,0回,0回
3ターン目,攻撃アップ,470,1.3,1,攻撃アップ,903,1.3,1.3,3回,0回
4ターン目,ヒール,500,1.3,1,回復,925,1.3,1.3,1回,0回
5ターン目,防御アップ,461,1.3,1.3,通常攻撃,847,1.3,1.3,3回,0回
6ターン目,ファイヤ,422,1.3,1.3,通常攻撃,709,1.3,1.3,0回,0回
7ターン目,攻撃アップ,383,1.69,1.3,通常攻撃,631,1.3,1.3,3回,0回
8ターン目,ファイヤ,344,1.69,1.3,通常攻撃,465,1.3,1.3,0回,0回
9ターン目,アイス,344,1.69,1.3,攻撃アップ,299,1.69,1.3,0回,0回
10ターン目,防御アップ,344,1.69,1.69,防御アップ,193,1.69,1.69,1回,0回
11ターン目,防御ダウン,293,1.69,1.69,通常攻撃,91,1.69,1.3,4回,0回
12ターン目,主人公のアクションで終了,293,1.69,1.69,死亡,0,1.69,1.3,0回,0回
 
戦闘2回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,攻撃アップ,470,1.3,1,通常攻撃,1140,1,1,0回,0回
2ターン目,サンダー,470,1.3,1,回復,1099,1,1,0回,0回
3ターン目,ヒール,470,1.3,1,通常攻撃,1018,1,1,0回,0回
4ターン目,防御ダウン,470,1.3,1,攻撃アップ,937,1.3,0.7692308,0回,0回
5ターン目,防御アップ,431,1.3,1.3,通常攻撃,853,1.3,0.7692308,0回,0回
6ターン目,防御アップ,431,1.3,1.69,攻撃アップ,769,1.69,0.7692308,0回,0回
7ターン目,ヒール,500,1.3,1.69,攻撃アップ,685,2.197,0.7692308,0回,0回
8ターン目,攻撃ダウン,500,1.3,1.69,攻撃アップ,601,2.197,0.7692308,0回,0回
9ターン目,防御アップ,434,1.3,2.197,通常攻撃,517,2.197,0.7692308,0回,0回
10ターン目,ファイヤ,368,1.3,2.197,通常攻撃,373,2.197,0.7692308,0回,0回
11ターン目,ファイヤ,368,1.3,2.197,防御アップ,229,2.197,1,0回,0回
12ターン目,攻撃アップ,302,1.69,2.197,通常攻撃,148,2.197,1,0回,0回
13ターン目,ヒール,402,1.69,2.197,防御アップ,39,2.197,1.3,0回,0回
14ターン目,主人公のアクションで終了,402,1.69,2.197,死亡,0,2.197,1.3,0回,0回
 
戦闘3回目,サポート重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,防御アップ,470,1,1.3,通常攻撃,1140,1,1,0回,0回
2ターン目,攻撃アップ,470,1.3,1.3,攻撃アップ,1080,1.3,1,0回,0回
3ターン目,防御アップ,431,1.3,1.69,通常攻撃,999,1.3,1,0回,0回
4ターン目,攻撃アップ,431,1.69,1.69,回復,918,1.3,1,0回,0回
5ターン目,防御アップ,431,1.69,2.197,通常攻撃,909,1.3,1,0回,0回
6ターン目,攻撃アップ,392,2.197,2.197,防御アップ,800,1.3,1,0回,0回
7ターン目,防御アップ,392,2.197,2.8561,攻撃アップ,656,1.3,1.3,0回,0回
8ターン目,防御アップ,392,2.197,3.712929,通常攻撃,515,1.69,1.3,0回,0回
9ターン目,防御ダウン,341,2.197,3.712929,通常攻撃,374,1.69,1,0回,0回
10ターン目,ヒール,390,2.197,3.712929,防御アップ,230,1.69,1,0回,0回
11ターン目,防御アップ,390,2.197,4.826808,死亡,86,1.69,1.3,0回,0回
12ターン目,主人公のアクションで終了,390,2.197,4.826808,死亡,0,1.69,1.3,0回,0回
 
