戦闘1回目,攻撃重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,アイス,500,1,1,回復,1180,1,1,0回,0回
2ターン目,ファイヤ,500,1,1,回復,1160,1,1,1回,0回
3ターン目,防御アップ,470,1,1.3,通常攻撃,1100,1,1,1回,0回
4ターン目,サンダー,470,1,1.3,防御アップ,980,1,1.3,0回,0回
5ターン目,防御アップ,440,1,1.69,通常攻撃,923,1,1.3,1回,0回
6ターン目,防御アップ,410,1,2.197,通常攻撃,866,1,1.3,1回,0回
7ターン目,攻撃ダウン,410,1,2.197,攻撃アップ,809,1,1.3,0回,0回
8ターン目,攻撃ダウン,386,1,2.197,通常攻撃,752,0.7692308,1.3,1回,0回
9ターン目,サンダー,386,1,2.197,防御アップ,635,0.7692308,1.69,1回,0回
10ターン目,アイス,386,1,2.197,防御アップ,521,0.7692308,2.197,1回,0回
11ターン目,アイス,362,1,2.197,通常攻撃,412,0.7692308,2.197,1回,0回
12ターン目,ヒール,438,1,2.197,通常攻撃,363,0.7692308,2.197,1回,0回
13ターン目,サンダー,414,1,2.197,通常攻撃,254,0.7692308,2.197,0回,0回
14ターン目,防御アップ,414,1,2.8561,攻撃アップ,205,1,2.197,0回,0回
15ターン目,ファイヤ,384,1,2.8561,通常攻撃,96,1,2.197,1回,0回
16ターン目,アイス,384,1,2.8561,死亡,0,1,2.197,0回,0回
 
戦闘2回目,攻撃重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,防御アップ,500,1,1.3,回復,1200,1,1,0回,0回
2ターン目,ファイヤ,500,1,1.3,攻撃アップ,1080,1.3,1,0回,0回
3ターン目,ファイヤ,500,1,1.3,防御アップ,960,1.3,1.3,0回,0回
4ターン目,アイス,461,1,1.3,通常攻撃,843,1.3,1.3,0回,0回
5ターン目,攻撃ダウン,461,1,1.3,攻撃アップ,786,1.3,1.3,0回,0回
6ターン目,攻撃ダウン,431,1,1.3,通常攻撃,729,1,1.3,0回,0回
7ターン目,アイス,431,1,1.3,回復,712,1,1.3,0回,0回
8ターン目,攻撃ダウン,431,1,1.3,回復,755,0.7692308,1.3,0回,0回
9ターン目,アイス,431,1,1.3,攻撃アップ,638,1,1.3,0回,0回
10ターン目,攻撃アップ,431,1.3,1.3,攻撃アップ,581,1.3,1.3,0回,0回
11ターン目,アイス,392,1.3,1.3,通常攻撃,443,1.3,1.3,0回,0回
12ターン目,ヒール,453,1.3,1.3,通常攻撃,365,1.3,1.3,0回,0回
13ターン目,サンダー,414,1.3,1.3,通常攻撃,227,1.3,1.3,0回,0回
14ターン目,攻撃ダウン,414,1.3,1.3,防御アップ,149,1,1.69,0回,0回
15ターン目,ファイヤ,414,1.3,1.3,回復,114,1,1.69,0回,0回
16ターン目,防御アップ,384,1.3,1.69,通常攻撃,39,1,1.69,0回,0回
17ターン目,主人公のアクションで終了,384,1.3,1.69,死亡,0,1,1.69,0回,0回
 
戦闘3回目,攻撃重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,サンダー,500,1,1,防御アップ,1080,1,1.3,0回,0回
2ターン目,アイス,500,1,1,防御アップ,963,1,1.69,0回,0回
3ターン目,防御アップ,500,1,1.3,攻撃アップ,909,1.3,1.69,0回,0回
4ターン目,攻撃ダウン,500,1,1.3,防御アップ,855,1,2.197,0回,0回
5ターン目,アイス,500,1,1.3,回復,846,1,2.197,0回,0回
6ターン目,攻撃アップ,470,1.3,1.3,通常攻撃,797,1,2.197,0回,0回
7ターン目,アイス,470,1.3,1.3,防御アップ,667,1,2.8561,0回,0回
8ターン目,ファイヤ,470,1.3,1.3,攻撃アップ,544,1.3,2.8561,0回,0回
9ターン目,防御アップ,431,1.3,1.69,通常攻撃,481,1.3,2.8561,0回,0回
10ターン目,防御アップ,431,1.3,2.197,攻撃アップ,418,1.69,2.8561,0回,0回
11ターン目,アイス,380,1.3,2.197,通常攻撃,295,1.69,2.8561,0回,0回
12ターン目,ヒール,480,1.3,2.197,攻撃アップ,232,2.197,2.8561,0回,0回
13ターン目,ファイヤ,414,1.3,2.197,通常攻撃,109,2.197,2.8561,0回,0回
14ターン目,ヒール,434,1.3,2.197,通常攻撃,46,2.197,2.8561,0回,0回
15ターン目,主人公のアクションで終了,434,1.3,2.197,死亡,0,2.197,2.8561,0回,0回
 
