戦闘1回目,攻撃重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,ファイヤ,500,1,1,攻撃アップ,80,1.3,1,4回,0回
2ターン目,サンダー,500,1,1,死亡,0,1.3,1,0回,0回
 
戦闘2回目,攻撃重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,サンダー,500,1,1,攻撃アップ,80,1.3,1,0回,0回
2ターン目,サンダー,500,1,1,死亡,0,1.3,1,0回,0回
 
戦闘3回目,攻撃重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,ファイヤ,500,1,1,攻撃アップ,80,1.3,1,0回,0回
2ターン目,ファイヤ,500,1,1,死亡,0,1.3,1,0回,0回
 
戦闘1回目,バランス重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,攻撃アップ,470,1.3,1,通常攻撃,340,1,1,5回,0回
2ターン目,サンダー,440,1.3,1,通常攻撃,199,1,1,3回,0回
3ターン目,ファイヤ,410,1.3,1,通常攻撃,58,1,1,0回,0回
4ターン目,主人公のアクションで終了,410,1.3,1,死亡,0,1,1,0回,0回
 
戦闘2回目,バランス重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,攻撃アップ,500,1.3,1,攻撃アップ,1140,1.3,1,0回,0回
2ターン目,攻撃アップ,461,1.69,1,通常攻撃,1059,1.3,1,0回,0回
3ターン目,防御ダウン,461,1.69,1,防御アップ,950,1.3,1,0回,0回
4ターン目,サンダー,422,1.69,1,通常攻撃,781,1.3,1,0回,0回
5ターン目,サンダー,422,1.69,1,攻撃アップ,612,1.69,1,0回,0回
6ターン目,防御アップ,371,1.69,1.3,通常攻撃,503,1.69,1,0回,0回
7ターン目,攻撃アップ,371,2.197,1.3,防御アップ,394,1.69,1.3,0回,0回
8ターン目,攻撃アップ,371,2.8561,1.3,攻撃アップ,253,2.197,1.3,0回,0回
9ターン目,サンダー,371,2.8561,1.3,回復,106,2.197,1.3,0回,0回
10ターン目,主人公のアクションで終了,371,2.8561,1.3,死亡,0,2.197,1.3,0回,0回
 
戦闘1回目,バランス重視
ターン数,仲間の行動,HP,攻撃力,防御力,ボスの行動,敵のHP,敵の攻撃力,敵の防御力,FB回数(味方行動時),FB回数（敵行動時）
1ターン目,防御ダウン,470,1,1,通常攻撃,340,1,0.7692308,5回,0回
2ターン目,防御ダウン,440,1,1,通常攻撃,277,1,0.591716,0回,0回
3ターン目,攻撃アップ,440,1.3,1,攻撃アップ,212,1.3,0.591716,0回,0回
4ターン目,攻撃アップ,440,1.69,1,回復,226,1.3,0.591716,0回,0回
5ターン目,アイス,401,1.69,1,通常攻撃,53,1.3,0.591716,0回,0回
6ターン目,主人公のアクションで終了,401,1.69,1,死亡,0,1.3,0.591716,0回,0回
 
